Date,MonthlyHomeSales,TenYears_Monthly_HomeSales_Average
2007-01-01,44642,33087
2007-02-01,44600,33205
2007-03-01,44419,33344
2007-04-01,43641,33482
2007-05-01,44470,33640
2007-06-01,44551,33801
2007-07-01,44239,33953
2007-08-01,42628,34089
2007-09-01,41300,34215
2007-10-01,41678,34333
2007-11-01,42424,34459
2007-12-01,41757,34578
2008-01-01,42078,34721
2008-02-01,39571,34839
2008-03-01,38716,34952
2008-04-01,38681,35061
2008-05-01,38462,35160
2008-06-01,38065,35259
2008-07-01,37698,35356
2008-08-01,37274,35446
2008-09-01,37612,35538
2008-10-01,30444,35577
2008-11-01,26489,35581
2008-12-01,26082,35569
2009-01-01,26059,35577
2009-02-01,28456,35591
2009-03-01,30721,35616
2009-04-01,34643,35671
2009-05-01,39179,35757
2009-06-01,42579,35869
2009-07-01,44250,35998
2009-08-01,43859,36127
2009-09-01,43442,36256
2009-10-01,44195,36391
2009-11-01,43469,36524
2009-12-01,44266,36672
2010-01-01,42186,36805
2010-02-01,40942,36925
2010-03-01,41634,37036
2010-04-01,40648,37143
2010-05-01,37075,37222
2010-06-01,33708,37276
2010-07-01,32014,37310
2010-08-01,33731,37359
2010-09-01,34397,37406
2010-10-01,35458,37469
2010-11-01,37308,37543
2010-12-01,37318,37621
2011-01-01,39259,37721
2011-02-01,38570,37805
2011-03-01,37771,37880
2011-04-01,36292,37933
2011-05-01,36436,37975
2011-06-01,37160,38013
2011-07-01,37061,38057
2011-08-01,37600,38102
2011-09-01,38299,38159
2011-10-01,38662,38222
2011-11-01,39618,38263
2011-12-01,40996,38271
2012-01-01,40257,38276
2012-02-01,40977,38295
2012-03-01,40731,38326
2012-04-01,40859,38368
2012-05-01,38878,38411
2012-06-01,37556,38455
2012-07-01,37358,38501
2012-08-01,34767,38519
2012-09-01,35323,38529
2012-10-01,36070,38547
2012-11-01,35168,38556
2012-12-01,35494,38568
2013-01-01,37003,38575
2013-02-01,36470,38593
2013-03-01,36659,38619
2013-04-01,36890,38655
2013-05-01,37349,38683
2013-06-01,38182,38701
2013-07-01,38731,38696
2013-08-01,39563,38717
2013-09-01,39722,38734
2013-10-01,38547,38740
2013-11-01,38687,38750
2013-12-01,38372,38761
2014-01-01,37250,38768
2014-02-01,37825,38777
2014-03-01,37629,38749
2014-04-01,38440,38738
2014-05-01,41007,38751
2014-06-01,40874,38772
2014-07-01,41858,38806
2014-08-01,42022,38842
2014-09-01,42396,38884
2014-10-01,41689,38915
2014-11-01,41627,38945
2014-12-01,39860,38964
2015-01-01,38635,38975
2015-02-01,39143,38981
2015-03-01,40382,38994
2015-04-01,41258,39006
2015-05-01,43582,39039
2015-06-01,43710,39068
2015-07-01,43338,39092
2015-08-01,43834,39110
2015-09-01,42401,39119
2015-10-01,43057,39134
2015-11-01,44244,39158
2015-12-01,43975,39185
2016-01-01,43775,39203
2016-02-01,44739,39226
2016-03-01,45069,39262
2016-04-01,47081,39316
2016-05-01,46460,39373
2016-06-01,46296,39436
2016-07-01,45852,39497
2016-08-01,44694,39544
2016-09-01,44434,39585
2016-10-01,45602,39638
2016-11-01,42731,39667
2016-12-01,43166,39669
2017-01-01,42453,39651
2017-02-01,45263,39657
2017-03-01,45933,39669
2017-04-01,46288,39691
2017-05-01,43712,39685
2017-06-01,40771,39654
2017-07-01,40037,39619
2017-08-01,39740,39594
2017-09-01,40762,39590
2017-10-01,41255,39586
2017-11-01,43363,39594
2017-12-01,45882,39629
2018-01-01,39551,39608
2018-02-01,37331,39589
2018-03-01,38249,39585
2018-04-01,37661,39577
2018-05-01,37635,39570
2018-06-01,38900,39577
2018-07-01,38834,39586
2018-08-01,39004,39601
2018-09-01,39284,39614
2018-10-01,38837,39684
2018-11-01,38460,39784
2018-12-01,37426,39879
2019-01-01,38141,39979
2019-02-01,35556,40039
2019-03-01,36706,40088
2019-04-01,39451,40128
2019-05-01,40767,40142
2019-06-01,41367,40132
2019-07-01,42622,40118
2019-08-01,42737,40109
2019-09-01,43544,40110
2019-10-01,43445,40103
2019-11-01,43908,40107
2019-12-01,42611,40093
2020-01-01,41035,40084
2020-02-01,42842,40099
2020-03-01,36275,40055
2020-04-01,16330,39852
2020-05-01,25845,39758
2020-06-01,43026,39836
2020-07-01,54714,40025
2020-08-01,58001,40228
2020-09-01,59512,40437
2020-10-01,58008,40625
2020-11-01,56753,40787
2020-12-01,59467,40971
2021-01-01,60225,41146
2021-02-01,60920,41332
2021-03-01,63893,41550
2021-04-01,58304,41733
2021-05-01,54537,41884
2021-06-01,50400,41995
2021-07-01,49558,42099
2021-08-01,49702,42200
2021-09-01,51449,42309
2021-10-01,55842,42452
2021-11-01,56608,42594
2021-12-01,54895,42710
2022-01-01,54934,42832
2022-02-01,56277,42960
2022-03-01,51912,43053
2022-04-01,45237,43089
2022-05-01,40463,43102
2022-06-01,37936,43106
2022-07-01,36132,43095
2022-08-01,35889,43105
2022-09-01,34803,43100
2022-10-01,35824,43098
2022-11-01,34700,43094
2022-12-01,34854,43089
2023-01-01,33464,43060
2023-02-01,33846,43038
2023-03-01,34251,43018
2023-04-01,37845,43026
2023-05-01,39554,43044
2023-06-01,39987,43059
2023-07-01,39749,43068
2023-08-01,38497,43059
2023-09-01,37632,43041
2023-10-01,35463,43016
2023-11-01,35088,42986
2023-12-01,38135,42984