"Date";"CompositeBenchmarkSA";"YearOverYearChangePercentage"
"2006-01-01";263700;9.4
"2006-02-01";266400;10.2
"2006-03-01";269300;11.0
"2006-04-01";272600;12.0
"2006-05-01";275900;13.1
"2006-06-01";278800;13.7
"2006-07-01";281600;13.8
"2006-08-01";284500;13.9
"2006-09-01";287400;14.0
"2006-10-01";288800;13.2
"2006-11-01";290800;12.8
"2006-12-01";293200;12.6
"2007-01-01";295600;12.2
"2007-02-01";299000;12.2
"2007-03-01";301700;11.9
"2007-04-01";304500;11.5
"2007-05-01";307700;11.4
"2007-06-01";310700;11.4
"2007-07-01";313300;11.2
"2007-08-01";315300;10.8
"2007-09-01";317400;10.5
"2007-10-01";319300;10.6
"2007-11-01";321100;10.5
"2007-12-01";323200;10.3
"2008-01-01";324800;9.9
"2008-02-01";325200;8.8
"2008-03-01";325300;7.9
"2008-04-01";324100;6.4
"2008-05-01";322300;4.7
"2008-06-01";320600;3.0
"2008-07-01";318300;1.5
"2008-08-01";316300;0.3
"2008-09-01";314500;-1.0
"2008-10-01";310400;-2.8
"2008-11-01";307100;-4.3
"2008-12-01";303300;-6.1
"2009-01-01";300100;-7.5
"2009-02-01";297400;-8.5
"2009-03-01";295300;-9.1
"2009-04-01";296800;-8.4
"2009-05-01";299200;-7.2
"2009-06-01";302900;-5.6
"2009-07-01";307300;-3.5
"2009-08-01";311700;-1.6
"2009-09-01";316400;0.5
"2009-10-01";321100;3.3
"2009-11-01";325300;5.9
"2009-12-01";328700;8.5
"2010-01-01";331400;10.4
"2010-02-01";333500;12.2
"2010-03-01";335000;13.6
"2010-04-01";335600;13.3
"2010-05-01";335300;12.2
"2010-06-01";334100;10.3
"2010-07-01";333200;8.4
"2010-08-01";332900;6.7
"2010-09-01";333100;5.1
"2010-10-01";334200;4.0
"2010-11-01";335900;3.2
"2010-12-01";337700;2.7
"2011-01-01";340100;2.7
"2011-02-01";343000;3.0
"2011-03-01";345400;3.3
"2011-04-01";347700;3.8
"2011-05-01";350300;4.6
"2011-06-01";353100;5.8
"2011-07-01";355600;6.7
"2011-08-01";357900;7.4
"2011-09-01";359700;7.8
"2011-10-01";361400;8.0
"2011-11-01";363300;8.1
"2011-12-01";365000;8.1
"2012-01-01";366800;7.9
"2012-02-01";368100;7.4
"2012-03-01";369600;7.1
"2012-04-01";371000;6.8
"2012-05-01";371000;6.0
"2012-06-01";370600;4.9
"2012-07-01";370300;4.2
"2012-08-01";369600;3.2
"2012-09-01";369600;2.8
"2012-10-01";369400;2.2
"2012-11-01";369000;1.5
"2012-12-01";370300;1.4
"2013-01-01";370200;0.9
"2013-02-01";370900;0.8
"2013-03-01";371500;0.4
"2013-04-01";372300;0.4
"2013-05-01";373300;0.6
"2013-06-01";374500;1.1
"2013-07-01";376200;1.7
"2013-08-01";378300;2.4
"2013-09-01";380400;3.0
"2013-10-01";382800;3.6
"2013-11-01";385000;4.3
"2013-12-01";386800;4.4
"2014-01-01";388700;4.9
"2014-02-01";389900;5.1
"2014-03-01";390500;5.2
"2014-04-01";391500;5.2
"2014-05-01";392700;5.3
"2014-06-01";394500;5.5
"2014-07-01";396300;5.5
"2014-08-01";398500;5.4
"2014-09-01";401000;5.4
"2014-10-01";403900;5.4
"2014-11-01";407000;5.6
"2014-12-01";409400;5.6
"2015-01-01";411200;5.6
"2015-02-01";412500;5.7
"2015-03-01";414800;6.3
"2015-04-01";417400;6.8
"2015-05-01";420400;7.3
"2015-06-01";424700;7.8
"2015-07-01";429200;8.4
"2015-08-01";434100;8.9
"2015-09-01";438700;9.3
"2015-10-01";443300;9.6
"2015-11-01";448000;9.9
"2015-12-01";452500;10.3
"2016-01-01";458200;11.4
"2016-02-01";464700;12.7
"2016-03-01";471200;13.9
"2016-04-01";479200;15.0
"2016-05-01";488300;16.4
"2016-06-01";496700;17.1
"2016-07-01";504200;17.4
"2016-08-01";509400;17.1
"2016-09-01";513900;17.0
"2016-10-01";516800;16.5
"2016-11-01";520400;16.0
"2016-12-01";523600;15.7
"2017-01-01";531200;16.0
"2017-02-01";543000;17.0
"2017-03-01";556700;18.5
"2017-04-01";562800;17.7
"2017-05-01";560900;14.9
"2017-06-01";556600;11.9
"2017-07-01";551700;9.2
"2017-08-01";549400;7.6
"2017-09-01";549400;6.7
"2017-10-01";550500;6.4
"2017-11-01";552200;6.1
"2017-12-01";553200;5.8
"2018-01-01";551900;4.2
"2018-02-01";548900;1.4
"2018-03-01";546700;-1.6
"2018-04-01";544800;-3.2
"2018-05-01";544000;-3.2
"2018-06-01";543600;-2.6
"2018-07-01";543500;-1.7
"2018-08-01";543000;-1.3
"2018-09-01";542000;-1.5
"2018-10-01";541500;-1.7
"2018-11-01";538200;-2.6
"2018-12-01";535600;-3.1
"2019-01-01";529500;-3.9
"2019-02-01";522900;-4.5
"2019-03-01";519000;-4.8
"2019-04-01";518700;-4.6
"2019-05-01";519600;-4.6
"2019-06-01";522000;-4.2
"2019-07-01";525000;-3.7
"2019-08-01";527500;-3.1
"2019-09-01";530800;-2.3
"2019-10-01";533900;-1.6
"2019-11-01";536500;-0.5
"2019-12-01";538500;0.4
"2020-01-01";540200;2.1
"2020-02-01";541700;4.1
"2020-03-01";541300;4.9
"2020-04-01";534200;3.4
"2020-05-01";538700;3.9
"2020-06-01";548200;4.9
"2020-07-01";562000;6.8
"2020-08-01";575000;8.7
"2020-09-01";584300;9.8
"2020-10-01";590600;10.3
"2020-11-01";598900;11.4
"2020-12-01";607700;12.6
"2021-01-01";620600;14.8
"2021-02-01";636400;17.7
"2021-03-01";652900;21.1
"2021-04-01";664900;25.1
"2021-05-01";676200;26.0
"2021-06-01";687400;25.5
"2021-07-01";695500;23.6
"2021-08-01";706200;22.4
"2021-09-01";721700;23.1
"2021-10-01";742700;25.4
"2021-11-01";762700;27.2
"2021-12-01";780200;28.3
"2022-01-01";815900;31.0
"2022-02-01";838400;31.4
"2022-03-01";835300;27.8
"2022-04-01";819900;23.5
"2022-05-01";804900;19.6
"2022-06-01";784600;14.7
"2022-07-01";767700;10.8
"2022-08-01";753300;6.9
"2022-09-01";743800;3.2
"2022-10-01";736800;-0.9
"2022-11-01";731400;-4.4
"2022-12-01";724400;-7.6
"2023-01-01";716600;-12.4
"2023-02-01";712000;-15.4
"2023-03-01";709600;-15.3
"2023-04-01";722000;-12.0
"2023-05-01";734400;-8.6
"2023-06-01";746100;-4.5
"2023-07-01";753000;-1.5
"2023-08-01";754300;0.4
"2023-09-01";750700;1.1
"2023-10-01";744200;1.1
"2023-11-01";736400;0.6
"2023-12-01";730400;0.7
